КНИГА ПЕРВАЯ ||| Part One

ГЛАВА ПЕРВАЯ * * * ||| CHAPTER ONE

От сибирских переходцев Егор Кузнецов давно наслышался о вольной сибирской жизни . Всегда , сколько он себя ни помнил , через Урал на Каму выходили бродяжки . ||| Yegor Kuznetsov had been hearing about the free life in Siberia ever since he could remember from vagabonds who came to the Kama from beyond the Urals .

Это был народ , измученный долгими скитаниями , оборванный и на вид звероватый , но с мужиками тихий и даже покорный . ||| They were exhausted by their long wanderings , and though they looked ragged and wild , they were quiet and even meek folk .

В былое время , когда бродяжки были редки , отец Егора в ненастные ночи , случалось , пускал их в избу . ||| In the olden days , when these vagabonds were few and far between , Yegor 's father would sometimes let them in for the night if the weather was bad .

– Ох , Кондрат , Кондрат , – дивились на него соседи , – как ты не боишься ? ||| The neighbours shook their heads in amazed disapproval and said : `` For caution 's sake , Kondrat ! Are n't you afraid ?

Люди они неведомые , далеко ли до греха… ||| You do n't know what 's on their mind so best keep out of harm 's way ....

– Бог милостив , – отвечал всегда Кондрат , – хлеб-соль не попустит согрешить . ||| `` `` God is merciful , '' Kondrat always replied . `` He wo n't let them take a sin upon their souls against a family that 's given them shelter .

Бродяжки рассказывали гостеприимным хозяевам , как в Сибири живут крестьяне , какие там угодья , земли , богатые рыбой реки , сколько зверей водится в дремучих сибирских лесах . ||| `` These wanderers told their hosts how the peasants lived in Siberia , what lush fields they had , what vast tracts of land they owned , how the rivers simply teemed with fish , and the great , impenetrable forests with game .

Среди бродяг попадались бойкие рассказчики , говорившие как по книгам . ||| Some of these vagabonds were good story-tellers , and they talked as glibly as if they were reading from a book .

Наговаривали они и быль и небылицы , и хорошее и плохое . ||| There was truth and fiction in their yarns , praise and complaint .

Все же по рассказам их выходило , что хоть сами они и ушли почему-то из Сибири , но страна там богатая , земли много , а жить на ней некому . ||| Still , from what they said it appeared that even though they themselves had left Siberia for some reason , it was indeed a rich country with plenty of land and none to live on it .

Да и не одни бродяжки толковали о матушке Сибири . ||| But information about Siberia did not come from vagabonds alone .

Сельцо , где жили Кузнецовы , расположено было на самом берегу Камы , а по ней в те времена шел путь в Сибирь . ||| The village where the Kuznetsovs lived was situated on the bank of the Kama along which the route to Siberia lay in those days .

Егор с детских лет привык жить новостями о Сибири , любил послушать проезжих сибиряков и всегда любопытствовал , что туда везут на баржах или по льду , что оттуда , какова там жизнь , каковы люди . Мысль о том , что хорошо бы когда-нибудь и самому убежать в Сибирь , еще смолоду укоренилась в голове Егора . ||| Talk about Siberia had been a part of Yegor 's life since his childhood ; he loved listening to the Siberians who were passing through the village , and was always curious to know what goods were being shipped there down the Kama— in barges in summer or over the ice in winter— what was brought from there , what the native population was like , and what sort of life they had there .

На то , чтобы уйти с родины , были и у него разные причины . ||| The idea of running away to Siberia one day became rooted in his mind .

Но до поры желание это было как бы спрятано где-то в потайной кладовой про запас ; и лишь когда у Егора случались неудачи или нелады с односельчанами , он извлекал его из тайника и утешался тем , что когда-нибудь оставит здешнюю незадачливую жизнь , соберется с духом , перевалит в Сибирь и станет жить там по-своему , а не как укажут люди . ||| Biding his time he kept it hidden away in some secret recess of his soul and only brought it out to dream on when he had trouble with his fellow villagers , consoling himself with the thought that one day he would escape , he would find the courage to cut himself loose and cross over the mountains to Siberia , there to live as he wished and not as others prescribed .

И женился Егор на свободной сибирячке . ||| Yegor married a Siberian , a free girl .

Неподалеку от сельца были заводы . Крестьяне ходили туда на работы . ||| There were several foundries not far from his village , and the peasants worked there in the wintertime .

Егору тоже доводилось жить на куренях , на углесидных кучах1и работать на сплавах . ||| Yegor went too , working as a smelter , and living in one of the huts near the wood-charring kilns .

Одну зиму пришлось ему прожить на соседнем заводе . Там встретил он славную , красивую девушку , дочь извежега , присланного на завод с азиатской стороны Урала . ||| He spent the whole of one winter at the foundry nearest home , and it was there he met this nice , attractive girl , the daughter of a lime burner who had been sent to work there from the other side of the Urals .

Егор и Наталья полюбили друг друга . ||| Yegor and Natalya fell in love .

На другой год Егор уломал отца заслать сватов , и в промежговенье , перед великим постом , свадьбу сыграли . ||| In the new year , he begged his father to send matchmakers to Natalya 's father , and they were married before Lent .

Между тем за последние годы движение в Сибирь оживилось . ||| In the meantime , migration to Siberia increased .
